dataset,split,unit,contract,threshold,alpha,beta_fp,confidence,risk_delta,fp_delta,family_size,threshold_grid_size,bound_method,n_bound_mode,contract_record,unit_count,image_count,n_gt,misses,tp,fp,object_risk,precision,fp_img,z_mean,z_upper,z_upper_hoeffding,fp_upper,fp_upper_hoeffding,n_bound,risk_feasible,utility_feasible,bad_units,bad_unit_cp
uavdt,trainval_imagehash90,image,raw640,0.0,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3000,35755,122756,0.07740936653335054,0.22556794165704588,88.1867816091954,-2.299425287356322,1.1962028884156108,9.715792453407111,103.25231116741764,107.1776912889443,259.0,False,True,253,0.2123907079094619
uavdt,trainval_imagehash90,image,raw640,0.001,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3000,35755,122756,0.07740936653335054,0.22556794165704588,88.1867816091954,-2.299425287356322,1.1962028884156108,9.715792453407111,103.25231116741764,107.1776912889443,259.0,False,True,253,0.2123907079094619
uavdt,trainval_imagehash90,image,raw640,0.003,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3133,35622,85713,0.08084118178299574,0.2935838793423167,61.57543103448276,-2.2038793103448278,1.295418754520842,9.811338430418605,74.56577749694894,80.56634071423166,259.0,False,True,216,0.18415327352866487
uavdt,trainval_imagehash90,image,raw640,0.005,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3193,35562,72112,0.08238936911366275,0.3302747181306536,51.804597701149426,-2.1607758620689657,1.3402695035022152,9.854441878694466,63.89480904609886,70.79550738089831,259.0,False,True,215,0.1833864806609663
uavdt,trainval_imagehash90,image,raw640,0.00625,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3221,35534,66816,0.08311185653464069,0.34718124084025404,48.0,-2.14066091954023,1.3612867950586045,9.874556821223202,59.72699791506339,66.9909096797489,259.0,False,True,212,0.18108487314474572
uavdt,trainval_imagehash90,image,raw640,0.0075,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3235,35520,62668,0.08347310024512966,0.36175500061107263,45.020114942528735,-2.130603448275862,1.3716701318388655,9.884614292487571,56.46533577420672,64.01102462227763,259.0,False,True,202,0.17339916808118522
uavdt,trainval_imagehash90,image,raw640,0.01,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3270,35485,56797,0.08437620952135208,0.38452786025443747,40.80244252873563,-2.1054597701149427,1.3974584749046826,9.90975797064849,51.856565515560234,59.79335220848452,259.0,False,True,191,0.16491937920384833
uavdt,trainval_imagehash90,image,raw640,0.0125,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3296,35459,52545,0.08504709069797446,0.40292486705149766,37.747844827586206,-2.0867816091954023,1.4168127241308568,9.92843613156803,48.519509070357785,56.7387545073351,259.0,False,True,190,0.1641471019990822
uavdt,trainval_imagehash90,image,raw640,0.015,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3316,35439,49217,0.08556315314153012,0.4186236061236061,35.35704022988506,-2.0724137931034483,1.4319190651750309,9.942803947659984,45.91292822162053,54.347949909633954,259.0,False,True,192,0.16569142019954472
uavdt,trainval_imagehash90,image,raw640,0.018750000000000003,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3352,35403,45347,0.08649206553993033,0.43842724458204335,32.576867816091955,-2.046551724137931,1.458313137174276,9.968666016625502,42.868550548758186,51.56777749584084,259.0,False,True,197,0.16954813527572754
