img_id,img_name,seq,n_gt,misses,tp,fp,risk,dataset,split,contract,threshold
2,0000001_03999_d_0000007.jpg,0000001,48,10,38,169,0.20833333333333334,visdrone,image_lockbox,raw960,0.22201040461659433
5,0000001_05499_d_0000010.jpg,0000001,140,34,106,105,0.24285714285714285,visdrone,image_lockbox,raw960,0.22201040461659433
6,0000001_05999_d_0000011.jpg,0000001,115,32,83,148,0.2782608695652174,visdrone,image_lockbox,raw960,0.22201040461659433
20,0000024_00000_d_0000012.jpg,0000024,21,8,13,28,0.38095238095238093,visdrone,image_lockbox,raw960,0.22201040461659433
21,0000024_00500_d_0000013.jpg,0000024,10,3,7,8,0.3,visdrone,image_lockbox,raw960,0.22201040461659433
22,0000024_01000_d_0000014.jpg,0000024,12,5,7,10,0.4166666666666667,visdrone,image_lockbox,raw960,0.22201040461659433
32,0000026_04000_d_0000032.jpg,0000026,14,0,14,14,0.0,visdrone,image_lockbox,raw960,0.22201040461659433
36,0000055_00714_d_0000110.jpg,0000055,85,28,57,127,0.32941176470588235,visdrone,image_lockbox,raw960,0.22201040461659433
37,0000069_00001_d_0000001.jpg,0000069,34,6,28,36,0.17647058823529413,visdrone,image_lockbox,raw960,0.22201040461659433
38,0000069_00483_d_0000002.jpg,0000069,27,3,24,26,0.1111111111111111,visdrone,image_lockbox,raw960,0.22201040461659433
43,0000069_02480_d_0000007.jpg,0000069,64,13,51,84,0.203125,visdrone,image_lockbox,raw960,0.22201040461659433
45,0000076_02142_d_0000009.jpg,0000076,11,2,9,3,0.18181818181818182,visdrone,image_lockbox,raw960,0.22201040461659433
46,0000081_00000_d_0000001.jpg,0000081,86,22,64,215,0.2558139534883721,visdrone,image_lockbox,raw960,0.22201040461659433
49,0000086_01084_d_0000003.jpg,0000086,146,41,105,129,0.2808219178082192,visdrone,image_lockbox,raw960,0.22201040461659433
54,0000103_01734_d_0000028.jpg,0000103,4,0,4,10,0.0,visdrone,image_lockbox,raw960,0.22201040461659433
58,0000103_03738_d_0000032.jpg,0000103,3,0,3,0,0.0,visdrone,image_lockbox,raw960,0.22201040461659433
64,0000115_01031_d_0000082.jpg,0000115,63,11,52,129,0.1746031746031746,visdrone,image_lockbox,raw960,0.22201040461659433
65,0000116_00351_d_0000083.jpg,0000116,74,17,57,133,0.22972972972972974,visdrone,image_lockbox,raw960,0.22201040461659433
70,0000117_01326_d_0000088.jpg,0000117,62,19,43,178,0.3064516129032258,visdrone,image_lockbox,raw960,0.22201040461659433
