dataset,split,contract,family_size,threshold_grid_size,family_correct,confidence,per_candidate_confidence,risk_confidence,fp_confidence,alpha,alpha_select,beta_fp,iou,threshold,threshold_feasible,cal_cp,cal_risk,cal_misses,cal_n_gt,cal_tp,cal_fp,cal_precision,cal_images,cal_fp_img,cal_fp_upper,eval_risk,eval_misses,eval_n_gt,eval_tp,eval_fp,eval_cp,eval_precision,eval_images,eval_fp_img,eval_fp_upper,eval_pass,group_bad_cp,group_bad,group_n,contract_record,cal_feasible,utility_feasible,joint_feasible,selected
uavdt,random1,raw640,10,175,True,0.95,0.9975,0.9975,0.9999857142857143,0.16,0.16,150.0,0.25,0.001,False,0.2772886280725454,0.2609866980973228,1550,5939,4389,24342,0.15276182520622325,153,159.09803921568627,216.380236740257,0.250830889540567,1283,5115,3832,23938,0.2610022629942709,0.13799063737846598,152,157.48684210526315,187.26761481336533,False,0.5782954624961971,39,81,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",False,False,False,False
uavdt,random1,raw960,10,175,True,0.95,0.9975,0.9975,0.9999857142857143,0.16,0.16,150.0,0.25,0.015,True,0.15908844319560733,0.14581579390469776,866,5939,5073,34045,0.1296845441996012,153,222.51633986928104,279.79853739385175,0.1386119257086999,709,5115,4406,33218,0.14680939904839652,0.11710610248777376,152,218.53947368421052,248.32024639231267,True,0.8406135562759771,62,81,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,False,False,False
uavdt,random1,union,10,175,True,0.95,0.9975,0.9975,0.9999857142857143,0.16,0.16,150.0,0.25,0.05625,True,0.15786773273572718,0.14463714430038727,859,5939,5080,20665,0.19731986793552145,153,135.0653594771242,183.90964850496292,0.14838709677419354,759,5115,4356,18946,0.15680890545798515,0.18693674362715645,152,124.64473684210526,147.9518253396811,True,0.4036338545678268,25,81,"{'name': 'union', 'resolution': None, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,False,False,False
uavdt,random1,nms040,10,175,True,0.95,0.9975,0.9975,0.9999857142857143,0.16,0.16,150.0,0.25,0.03,True,0.1589140736389449,0.14564741538979625,865,5939,5074,14877,0.2543230915743572,153,97.23529411764706,154.51749164221778,0.14545454545454545,744,5115,4371,14499,0.15381038315394954,0.231637519872814,152,95.38815789473684,125.168930602839,True,0.3115086463644208,18,81,"{'name': 'nms040', 'resolution': None, 'nms_iou': 0.4, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,False,False,False
uavdt,random1,nms040_cap300,10,175,True,0.95,0.9975,0.9975,0.9999857142857143,0.16,0.16,150.0,0.25,0.025,True,0.149314465082153,0.13638659707021383,810,5939,5129,16588,0.2361744255652254,153,108.41830065359477,165.7004981781655,0.13841642228739004,708,5115,4407,16197,0.14660927707139015,0.2138905066977286,152,106.5592105263158,136.33998323441793,True,0.3249102004120141,19,81,"{'name': 'nms040_cap300', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,False,False,False
uavdt,random1,nms040_cap300_sf003,10,175,True,0.95,0.9975,0.9975,0.9999857142857143,0.16,0.16,150.0,0.25,0.025,True,0.149314465082153,0.13638659707021383,810,5939,5129,16588,0.2361744255652254,153,108.41830065359477,165.7004981781655,0.13841642228739004,708,5115,4407,16197,0.14660927707139015,0.2138905066977286,152,106.5592105263158,136.33998323441793,True,0.3249102004120141,19,81,"{'name': 'nms040_cap300_sf003', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.003, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,False,False,False
uavdt,random1,support_soft_a,10,175,True,0.95,0.9975,0.9975,0.9999857142857143,0.16,0.16,150.0,0.25,0.03125,True,0.1582165366292316,0.14497390133019028,861,5939,5078,14413,0.2605305012569904,153,94.20261437908496,151.48481190365567,0.14545454545454545,744,5115,4371,13974,0.15381038315394954,0.2382665576451349,152,91.9342105263158,121.71498323441794,True,0.2980158219592647,17,81,"{'name': 'support_soft_a', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.04, 'single_penalty_640': 0.8, 'single_penalty_960': 0.9, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,False,False,False
uavdt,random1,support_soft_b,10,175,True,0.95,0.9975,0.9975,0.9999857142857143,0.16,0.16,150.0,0.25,0.03,True,0.15996020322500337,0.14665768647920524,871,5939,5068,13932,0.26673684210526316,153,91.05882352941177,148.34102105398247,0.1493646138807429,764,5115,4351,13542,0.15780816730679628,0.24316771921980662,152,89.09210526315789,118.87287797126005,True,0.2980158219592647,17,81,"{'name': 'support_soft_b', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.5, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
uavdt,random1,support_floor,10,175,True,0.95,0.9975,0.9975,0.9999857142857143,0.16,0.16,150.0,0.25,0.03125,True,0.15943716473303413,0.14615255093450075,868,5939,5071,13886,0.2675001318774068,153,90.75816993464052,148.04036745921124,0.14819159335288368,758,5115,4357,13472,0.1566090384655569,0.24437713837007125,152,88.63157894736842,118.41235165547057,True,0.2980158219592647,17,81,"{'name': 'support_floor', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.015, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True
uavdt,random1,support_cap200,10,175,True,0.95,0.9975,0.9975,0.9999857142857143,0.16,0.16,150.0,0.25,0.01,False,0.2085719071525195,0.19380367065162485,1151,5939,4788,23352,0.1701492537313433,153,152.62745098039215,209.9096485049629,0.19237536656891496,984,5115,4131,24014,0.20166758189000408,0.1467756262213537,152,157.98684210526315,187.7676148133653,False,0.8511721624525461,63,81,"{'name': 'support_cap200', 'resolution': None, 'nms_iou': 0.4, 'max_det': 200, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.75, 'single_penalty_960': 0.88, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",False,False,False,False
