dataset,split,contract,family_size,threshold_grid_size,family_correct,confidence,per_candidate_confidence,risk_confidence,fp_confidence,alpha,alpha_select,beta_fp,iou,threshold,threshold_feasible,cal_cp,cal_risk,cal_misses,cal_n_gt,cal_tp,cal_fp,cal_precision,cal_images,cal_fp_img,cal_fp_upper,eval_risk,eval_misses,eval_n_gt,eval_tp,eval_fp,eval_cp,eval_precision,eval_images,eval_fp_img,eval_fp_upper,eval_pass,group_bad_cp,group_bad,group_n,contract_record,cal_feasible,utility_feasible,joint_feasible,selected
uavdt,random1,raw640,15,175,True,0.95,0.9983333333333333,0.9983333333333333,0.9999904761904762,0.16,0.0525,150.0,0.25,0.001,False,0.27803812322597665,0.2609866980973228,1550,5939,4389,24342,0.15276182520622325,153,159.09803921568627,217.4118848855296,0.250830889540567,1283,5115,3832,23938,0.2610022629942709,0.13799063737846598,152,157.48684210526315,187.26761481336533,False,0.5782954624961971,39,81,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",False,False,False,False
uavdt,random1,raw960,15,175,True,0.95,0.9983333333333333,0.9983333333333333,0.9999904761904762,0.16,0.0525,150.0,0.25,0.0125,False,0.15900582328031865,0.14514227984509176,862,5939,5077,38044,0.11773845690035017,153,248.65359477124184,300.0,0.13743890518084068,703,5115,4412,37633,0.14560858708273286,0.1049351884885242,152,247.58552631578948,277.36629902389166,True,1.0,81,81,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",False,False,False,False
uavdt,random1,union,15,175,True,0.95,0.9983333333333333,0.9983333333333333,0.9999904761904762,0.16,0.0525,150.0,0.25,0.001,False,0.11565009609494276,0.10355278666442162,615,5939,5324,69307,0.07133764789430666,153,452.98692810457516,300.0,0.09423264907135875,482,5115,4633,68737,0.10122220372893202,0.06314569987733407,152,452.2171052631579,300.0,True,1.0,81,81,"{'name': 'union', 'resolution': None, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",False,False,False,True
uavdt,random1,nms040,15,175,True,0.95,0.9983333333333333,0.9983333333333333,0.9999904761904762,0.16,0.0525,150.0,0.25,0.001,False,0.1327322404956113,0.11988550260986698,712,5939,5227,31629,0.14182222704579986,153,206.72549019607843,265.0066561273597,0.11065493646138808,566,5115,4549,32250,0.11813269783813615,0.12361748960569581,152,212.17105263157896,241.90577270810215,True,0.9753646164124925,76,81,"{'name': 'nms040', 'resolution': None, 'nms_iou': 0.4, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",False,False,False,False
uavdt,random1,nms040_cap300,15,175,True,0.95,0.9983333333333333,0.9983333333333333,0.9999904761904762,0.16,0.0525,150.0,0.25,0.001,False,0.13413758271616089,0.12123253072907897,720,5939,5219,31408,0.1424905124634832,153,205.281045751634,263.59489142147726,0.11378299120234604,582,5115,4533,32009,0.12134773059404776,0.12404903946144163,152,210.58552631578948,240.36629902389163,True,0.9753646164124925,76,81,"{'name': 'nms040_cap300', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",False,False,False,False
uavdt,random1,nms040_cap300_sf003,15,175,True,0.95,0.9983333333333333,0.9983333333333333,0.9999904761904762,0.16,0.0525,150.0,0.25,0.005,False,0.13431321549737996,0.12140090924398046,721,5939,5218,27751,0.1582698898965695,153,181.37908496732027,239.69293063716356,0.11397849462365592,583,5115,4532,28486,0.12154861125351217,0.13725846507965353,152,187.4078947368421,217.18866744494426,True,0.9407974247827385,72,81,"{'name': 'nms040_cap300_sf003', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.003, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",False,False,False,False
uavdt,random1,support_soft_a,15,175,True,0.95,0.9983333333333333,0.9983333333333333,0.9999904761904762,0.16,0.0525,150.0,0.25,0.001,False,0.13396194219059682,0.12106415221417748,719,5939,5220,30780,0.145,153,201.1764705882353,259.49031625807856,0.11378299120234604,582,5115,4533,31408,0.12134773059404776,0.12612336885451156,152,206.6315789473684,236.41235165547056,True,0.967250627217303,75,81,"{'name': 'support_soft_a', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.04, 'single_penalty_640': 0.8, 'single_penalty_960': 0.9, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",False,False,False,False
uavdt,random1,support_soft_b,15,175,True,0.95,0.9983333333333333,0.9983333333333333,0.9999904761904762,0.16,0.0525,150.0,0.25,0.0,False,0.13466445788217785,0.12173766627378346,723,5939,5216,31364,0.14259158009841444,153,204.99346405228758,263.3073097221309,0.11378299120234604,582,5115,4533,31976,0.12134773059404776,0.12416116573995453,152,210.3684210526316,240.14919376073374,True,0.9753646164124925,76,81,"{'name': 'support_soft_b', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.5, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",False,False,False,False
uavdt,random1,support_floor,15,175,True,0.95,0.9983333333333333,0.9983333333333333,0.9999904761904762,0.16,0.0525,150.0,0.25,0.0125,False,0.13484006751333646,0.12190604478868497,724,5939,5215,21825,0.19286242603550297,153,142.64705882352942,200.9609044933727,0.11632453567937438,595,5115,4520,21662,0.12395865039768336,0.17263769001604157,152,142.51315789473685,172.293930602839,True,0.467337453775674,30,81,"{'name': 'support_floor', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.015, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",False,False,False,False
uavdt,random1,support_cap200,15,175,True,0.95,0.9983333333333333,0.9983333333333333,0.9999904761904762,0.16,0.0525,150.0,0.25,0.01,False,0.20925414359630412,0.19380367065162485,1151,5939,4788,23352,0.1701492537313433,153,152.62745098039215,210.94129665023547,0.19237536656891496,984,5115,4131,24014,0.20166758189000408,0.1467756262213537,152,157.98684210526315,187.7676148133653,False,0.8511721624525461,63,81,"{'name': 'support_cap200', 'resolution': None, 'nms_iou': 0.4, 'max_det': 200, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.75, 'single_penalty_960': 0.88, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",False,False,False,False
