img_id,img_name,seq,n_gt,misses,tp,fp,risk,dataset,split,contract,threshold
5,dji_399_150m00401_2.jpg,dji_399_150m00401,1,0,1,89,0.0,uavdt,image_lockbox,raw640,0.001
6,dji_399_150m00601_3.jpg,dji_399_150m00601,4,0,4,75,0.0,uavdt,image_lockbox,raw640,0.001
7,dji_399_150m00701_2.jpg,dji_399_150m00701,3,0,3,91,0.0,uavdt,image_lockbox,raw640,0.001
8,dji_399_150m00701_4.jpg,dji_399_150m00701,19,1,18,38,0.05263157894736842,uavdt,image_lockbox,raw640,0.001
10,dji_399_150m00801_2.jpg,dji_399_150m00801,4,0,4,98,0.0,uavdt,image_lockbox,raw640,0.001
14,dji_399_150m01101_6.jpg,dji_399_150m01101,14,1,13,73,0.07142857142857142,uavdt,image_lockbox,raw640,0.001
16,dji_399_150m01301_6.jpg,dji_399_150m01301,14,3,11,79,0.21428571428571427,uavdt,image_lockbox,raw640,0.001
21,dji_399_150m02201_4.jpg,dji_399_150m02201,22,2,20,39,0.09090909090909091,uavdt,image_lockbox,raw640,0.001
22,dji_399_150m02501_1.jpg,dji_399_150m02501,3,0,3,94,0.0,uavdt,image_lockbox,raw640,0.001
31,dji_477_150m01001_3.jpg,dji_477_150m01001,1,0,1,37,0.0,uavdt,image_lockbox,raw640,0.001
32,dji_477_150m01001_4.jpg,dji_477_150m01001,30,0,30,82,0.0,uavdt,image_lockbox,raw640,0.001
44,dji_64_150m00201_4.jpg,dji_64_150m00201,3,0,3,16,0.0,uavdt,image_lockbox,raw640,0.001
46,dji_64_150m00601_2.jpg,dji_64_150m00601,5,0,5,24,0.0,uavdt,image_lockbox,raw640,0.001
49,dji_64_150m01601_6.jpg,dji_64_150m01601,5,0,5,65,0.0,uavdt,image_lockbox,raw640,0.001
51,dji_64_150m02001_3.jpg,dji_64_150m02001,8,0,8,23,0.0,uavdt,image_lockbox,raw640,0.001
52,dji_64_150m02201_4.jpg,dji_64_150m02201,4,0,4,9,0.0,uavdt,image_lockbox,raw640,0.001
62,dji_65_150m01401_1.jpg,dji_65_150m01401,5,1,4,23,0.2,uavdt,image_lockbox,raw640,0.001
63,dji_65_150m01601_5.jpg,dji_65_150m01601,2,0,2,4,0.0,uavdt,image_lockbox,raw640,0.001
73,dji_65_150m03001_4.jpg,dji_65_150m03001,4,0,4,12,0.0,uavdt,image_lockbox,raw640,0.001
76,djibridge2_150m00601_1.jpg,djibridge2_150m00601,11,1,10,101,0.09090909090909091,uavdt,image_lockbox,raw640,0.001
78,djibridge2_150m01201_3.jpg,djibridge2_150m01201,10,0,10,38,0.0,uavdt,image_lockbox,raw640,0.001
81,djibridge_150m00201_5.jpg,djibridge_150m00201,17,0,17,90,0.0,uavdt,image_lockbox,raw640,0.001
88,lim_1020.jpg,lim,235,62,173,127,0.26382978723404255,uavdt,image_lockbox,raw640,0.001
99,lim_1590.jpg,lim,240,76,164,136,0.31666666666666665,uavdt,image_lockbox,raw640,0.001
102,lim_1980.jpg,lim,242,69,173,127,0.28512396694214875,uavdt,image_lockbox,raw640,0.001
103,lim_2010.jpg,lim,240,72,168,132,0.3,uavdt,image_lockbox,raw640,0.001
113,lim_3765.jpg,lim,207,42,165,135,0.2028985507246377,uavdt,image_lockbox,raw640,0.001
115,lim_3915.jpg,lim,205,49,156,144,0.23902439024390243,uavdt,image_lockbox,raw640,0.001
121,pavilion_048_1785.jpg,pavilion_048,20,7,13,250,0.35,uavdt,image_lockbox,raw640,0.001
126,pavilion_048_2070.jpg,pavilion_048,22,4,18,257,0.18181818181818182,uavdt,image_lockbox,raw640,0.001
127,pavilion_048_2145.jpg,pavilion_048,23,7,16,214,0.30434782608695654,uavdt,image_lockbox,raw640,0.001
134,pavilion_048_2565.jpg,pavilion_048,26,5,21,270,0.19230769230769232,uavdt,image_lockbox,raw640,0.001
148,pavilion_048_3645.jpg,pavilion_048,21,5,16,232,0.23809523809523808,uavdt,image_lockbox,raw640,0.001
151,pavilion_048_3855.jpg,pavilion_048,20,4,16,245,0.2,uavdt,image_lockbox,raw640,0.001
160,pavilion_048_435.jpg,pavilion_048,20,6,14,241,0.3,uavdt,image_lockbox,raw640,0.001
173,pavilion_048_5415.jpg,pavilion_048,25,4,21,258,0.16,uavdt,image_lockbox,raw640,0.001
176,pavilion_048_5655.jpg,pavilion_048,24,6,18,196,0.25,uavdt,image_lockbox,raw640,0.001
182,pavilion_048_6000.jpg,pavilion_048,25,6,19,183,0.24,uavdt,image_lockbox,raw640,0.001
184,pavilion_048_6135.jpg,pavilion_048,23,5,18,176,0.21739130434782608,uavdt,image_lockbox,raw640,0.001
187,pavilion_048_630.jpg,pavilion_048,20,7,13,242,0.35,uavdt,image_lockbox,raw640,0.001
188,pavilion_048_6480.jpg,pavilion_048,22,7,15,277,0.3181818181818182,uavdt,image_lockbox,raw640,0.001
189,pavilion_048_6525.jpg,pavilion_048,23,5,18,248,0.21739130434782608,uavdt,image_lockbox,raw640,0.001
191,pavilion_048_6765.jpg,pavilion_048,23,6,17,217,0.2608695652173913,uavdt,image_lockbox,raw640,0.001
198,pavilion_048_7215.jpg,pavilion_048,22,7,15,201,0.3181818181818182,uavdt,image_lockbox,raw640,0.001
